aqi,co,co_8hr,county,datacreationdate,latitude,longitude,no,no2,nox,o3,o3_8hr,pm10,pm10_avg,pm2.5,pm2.5_avg,pollutant,siteid,sitename,so2,so2_avg,status,unit,winddirec,windspeed
66,0.36,0.4,臺中市,2022/3/24 23:00,24.162197,120.616917,0.6,18,18.7,23.5,25,43,38,27,22,細懸浮微粒,32,西屯,1.1,0,普通,,347,1
64,0.54,0.4,臺中市,2022/3/24 22:00,24.162197,120.616917,3.3,27,30.3,10.7,26,38,38,24,21,細懸浮微粒,32,西屯,0.9,0,普通,,33,1.2
61,0.61,0.3,臺中市,2022/3/24 21:00,24.162197,120.616917,1.4,33.3,34.8,5.7,27,41,37,23,20,細懸浮微粒,32,西屯,0.8,0,普通,,348,0.4
58,0.51,0.3,臺中市,2022/3/24 20:00,24.162197,120.616917,0.4,25.6,26.1,17.7,28,41,36,18,18,細懸浮微粒,32,西屯,0.8,0,普通,,325,0.6
56,0.33,0.4,臺中市,2022/3/24 19:00,24.162197,120.616917,0.5,15.6,16.2,36.6,27,45,34,21,18,細懸浮微粒,32,西屯,0.8,0,普通,,16,0.4
53,0.29,0.4,臺中市,2022/3/24 18:00,24.162197,120.616917,0.9,17.7,18.7,37.9,23,42,30,20,16,細懸浮微粒,32,西屯,0.7,0,普通,,17,1.6
52,0.29,0.4,臺中市,2022/3/24 17:00,24.162197,120.616917,2.1,21,23.2,35.3,19,38,27,17,16,細懸浮微粒,32,西屯,1,0,普通,,357,2.2
53,0.29,0.5,臺中市,2022/3/24 16:00,24.162197,120.616917,2.3,16.8,19.2,38.8,17,34,25,15,16,細懸浮微粒,32,西屯,1.1,0,普通,,21,2
54,0.34,0.5,臺中市,2022/3/24 15:00,24.162197,120.616917,6.6,23.9,30.5,30.1,15,25,23,16,17,細懸浮微粒,32,西屯,0.9,0,普通,,32,2.6
55,0.38,0.5,臺中市,2022/3/24 14:00,24.162197,120.616917,6.2,26.1,32.4,19.9,15,27,23,19,17,細懸浮微粒,32,西屯,0.9,0,普通,,19,1.7
56,0.7,0.4,臺中市,2022/3/24 13:00,24.162197,120.616917,21,38.9,60,8.9,16,33,21,24,16,二氧化氮,32,西屯,1.3,0,普通,,232,1.4
56,0.71,0.4,臺中市,2022/3/24 12:00,24.162197,120.616917,24.9,38.8,63.7,9.3,19,25,17,21,13,二氧化氮,32,西屯,1.8,0,普通,,148,0.5
55,0.66,0.3,臺中市,2022/3/24 11:00,24.162197,120.616917,32.1,37.7,69.9,6.1,22,28,15,22,11,二氧化氮,32,西屯,1.3,0,普通,,105,1.3
47,0.58,0.3,臺中市,2022/3/24 10:00,24.162197,120.616917,12.5,28.5,41,11.3,25,17,12,11,8,,32,西屯,1.1,0,良好,,129,0.4
40,0.47,0.2,臺中市,2022/3/24 09:00,24.162197,120.616917,4.8,24.6,29.4,15.6,27,13,12,8,8,,32,西屯,1,0,良好,,57,0.5
28,0.32,0.2,臺中市,2022/3/24 08:00,24.162197,120.616917,1.6,15.1,16.7,26,29,13,12,8,9,,32,西屯,0.7,0,良好,,358,1.3
29,0.23,0.2,臺中市,2022/3/24 07:00,24.162197,120.616917,0.6,15.3,15.9,29.1,29,14,11,7,9,,32,西屯,0.8,0,良好,,28,3.3
29,0.22,0.2,臺中市,2022/3/24 06:00,24.162197,120.616917,0.4,11.7,12.1,27,30,14,11,11,9,,32,西屯,1.1,0,良好,,37,1.5
29,0.22,0.2,臺中市,2022/3/24 05:00,24.162197,120.616917,0.3,11.9,12.3,29.2,31,13,10,11,9,,32,西屯,0.9,0,良好,,33,2.2
30,0.21,0.2,臺中市,2022/3/24 04:00,24.162197,120.616917,0.3,9.3,9.7,32.1,32,11,9,8,8,,32,西屯,0.9,0,良好,,26,2.4
30,0.21,0.2,臺中市,2022/3/24 03:00,24.162197,120.616917,0.1,9.5,9.6,33.8,32,9,9,8,8,,32,西屯,0.7,0,良好,,23,3
